id,name,openrank,gender,country,region,age,weight,height,22.1Score,22.1Rank,22.2Score,22.2Rank,22.3Score,22.3Rank,rank,QFOneScore,QFOneRank,QFTwoScore,QFTwoRank,QFThreeScore,QFThreeRank,QFFourScore,QFFourRank,QFFiveScore,QFFiveRank,semi-ranking
22729,Jonas Mueller,87,M,Switzerland,Europe,31,78.0,170.0,336,166,8:52,204,5:25,184,244,6:55,39,7:54,75,14:21,188,896,1553,3:35,765,605.838
1827157,Mats Cibis,106,M,Germany,Europe,26,87.0,176.0,330,401,8:18,56,5:32,237,208,6:59,47,8:44,267,14:40,303,933,943,3:36,785,565.5930000000001
6346,Sam Stewart,148,M,Ireland,Europe,25,87.0,175.0,325,603,8:47,165,5:19,148,35,7:06,56,7:33,34,14:48,376,1014,218,2:49,65,275.05999999999995
408198,David Mata,210,M,Spain,Europe,31,83.0,182.0,315,999,8:10,44,5:30,217,155,9:13,546,8:44,267,15:21,673,1041,104,3:11,307,576.703
698182,Adrian Mundwiler,285,M,Switzerland,Europe,29,87.0,172.0,330,401,9:40,954,5:37,282,54,7:29,104,7:38,46,14:56,450,1012,229,3:01,177,381.925
209758,Piotr Mielczarek,570,M,Poland,Europe,34,96.0,184.0,318,840,9:45,1096,6:21,876,179,7:01,49,10:30,1085,14:38,290,961,623,2:52,92,686.788
935580,Victor Ljungdal,6,M,Sweden,Europe,26,85.0,172.0,390,1,7:50,17,4:48,28,124,7:02,51,8:49,300,14:47,369,959,645,3:07,252,413.50600000000003
230757,Casper Gammelmark,89,M,Denmark,Europe,31,86.0,183.0,333,216,9:07,336,4:42,20,132,9:40,772,8:26,171,14:46,358,1014,218,2:59,150,450.17999999999995
1399749,Dami Martínez,81,M,Spain,Europe,29,,,361,23,9:19,483,4:43,21,147,9:28,672,8:03,100,15:19,655,992,375,2:49,65,545.904
1408660,Luka Vunjak,38,M,Serbia,Europe,22,92.0,173.0,332,255,7:36,6,4:56,47,157,8:42,355,7:48,63,15:18,643,955,682,3:01,177,536.287
81616,Björgvin Karl Guðmundsson,32,M,Iceland,Europe,29,84.0,178.0,352,50,8:52,204,4:41,17,8,7:20,83,7:23,18,13:47,53,1037,122,2:51,83,100.764
1214445,Matúš Kočar,417,M,Slovakia,Europe,20,79.0,171.0,333,216,9:41,979,6:28,1003,168,7:41,130,8:01,96,14:58,462,956,670,3:32,701,596.9590000000001
675164,Nikita Yundov,2422,M,,Europe,29,90.0,178.0,314,1077,172 reps,8800,5:50,414,140,7:23,90,8:30,185,14:55,440,948,761,3:12,322,1139.8829999999998
831455,Topias Romo,54,M,Finland,Europe,28,,,337,153,8:42,136,5:13,111,159,8:08,231,9:23,520,14:48,376,979,465,3:15,367,503.241
1291218,Philip Lundqvist,1068,M,Sweden,Europe,24,85.0,178.0,308,1480,188 reps,3183,5:40,302,160,9:07,509,9:05,402,15:12,583,999,328,2:58,142,840.2249999999999
925870,Moritz Fiebig,213,M,Germany,Europe,27,99.0,179.0,334,203,9:41,979,5:09,96,26,7:42,135,7:26,24,14:50,396,1060,55,2:44,30,284.27799999999996
913681,Lucas Heuzé,67,M,France,Europe,27,88.0,179.0,338,146,8:28,86,5:30,217,135,7:21,84,7:39,48,14:54,425,944,809,3:12,322,448.298
1059467,Lazar Đukić,273,M,Serbia,Europe,26,90.0,182.0,321,718,9:33,769,5:13,111,14,7:14,70,7:28,26,13:32,28,1013,225,2:56,123,202.53300000000002
238338,Kevin Jurs,443,M,Estonia,Europe,28,96.0,180.0,340,122,9:56,1523,6:09,675,52,7:53,169,8:53,328,14:53,417,1096,19,2:49,65,416.169
495781,Haraldur Holgersson,1468,M,Iceland,Europe,23,82.0,178.0,328,526,179 reps,5981,4:55,43,86,8:31,314,8:20,146,14:41,313,986,409,3:03,196,791.1569999999998
923468,Tiago Luzes,102,M,Portugal,Europe,25,87.0,180.0,330,401,8:31,96,5:25,184,101,9:14,557,8:19,145,14:22,194,979,465,2:54,110,385.541
929317,Enrico Zenoni,76,M,Italy,Europe,24,86.0,178.0,347,67,9:00,275,5:21,161,87,6:50,34,7:27,25,14:04,104,948,761,3:20,468,329.496
773001,Iurii Marincenco,926,M,Italy,Europe,26,85.0,178.0,309,1397,189 reps,2975,4:59,54,117,7:53,169,8:07,109,14:33,248,988,393,3:30,660,643.668
452063,Augusto Gesso,282,M,Italy,Europe,29,85.0,178.0,316,944,9:10,358,5:42,323,166,9:05,500,9:35,608,15:05,513,992,375,2:46,38,628.228
771441,Calum Clements,2024,M,Spain,Europe,25,95.0,185.0,303,1957,177 reps,6598,5:29,207,143,8:28,299,9:28,562,15:12,583,999,328,2:48,54,1082.897
1657300,Fabian Beneito,105,M,Spain,Europe,26,90.0,178.0,328,526,8:46,156,4:31,11,41,7:41,130,7:31,32,14:38,290,999,328,2:51,83,277.014
472642,Uldis Upenieks,110,M,Latvia,Europe,24,84.0,174.0,325,603,7:20,1,5:09,96,70,7:04,55,7:56,80,13:49,60,948,761,3:08,265,310.13599999999997
888668,Luka Đukić,85,M,Serbia,Europe,23,91.0,182.0,362,15,8:56,237,5:39,295,114,9:43,795,8:26,171,13:29,21,980,455,2:56,123,364.64799999999997
676163,Fernando Martin,330,M,Spain,Europe,32,91.0,184.0,332,255,9:38,895,6:07,645,184,9:41,778,8:45,275,13:39,43,926,1027,2:47,46,582.0799999999999
461734,Michael Smith,871,M,Ireland,Europe,30,95.0,183.0,309,1397,191 reps,2643,5:20,156,122,7:49,153,9:28,562,14:29,225,981,442,3:05,223,661.1779999999999
