id,name
22729,Jonas Mueller
1827157,Mats Cibis
6346,Sam Stewart
408198,David Mata
698182,Adrian Mundwiler
209758,Piotr Mielczarek
935580,Victor Ljungdal
230757,Casper Gammelmark
1399749,Dami Martínez
1408660,Luka Vunjak
81616,Björgvin Karl Guðmundsson
1214445,Matúš Kočar
675164,Nikita Yundov
831455,Topias Romo
1291218,Philip Lundqvist
925870,Moritz Fiebig
913681,Lucas Heuzé
1059467,Lazar Đukić
238338,Kevin Jurs
495781,Haraldur Holgersson
923468,Tiago Luzes
929317,Enrico Zenoni
773001,Iurii Marincenco
452063,Augusto Gesso
771441,Calum Clements
1657300,Fabian Beneito
472642,Uldis Upenieks
888668,Luka Đukić
676163,Fernando Martin
461734,Michael Smith
